1,Total Body Makeover,"Transform yourself with this full body workout using unique exercises and movements. Burn, sculpt and chisel a new you!",Flexibility & Strength,2009-03-09 22:22:08,2009-03-09 22:22:08
2,Ultimate Body Conditioning,"Beginning with a cardio warm-up, Jeff will take you through pilates & yoga moves plus free weights for your ultimate body.",Flexibility & Strength,2009-03-09 22:35:51,2009-03-09 22:35:51
3,Pilates Mat,A series of mat-based exercises for strength & flexibility.,Flexibility & Strength,2009-03-09 23:42:34,2009-03-09 23:42:34
4,Pilates Plus,Build core strength & tone all-over with the use of props.,Flexibility & Strength,2009-03-09 23:42:55,2009-03-09 23:43:06
5,Funkdafied Yoga,"Flows like ashtanga yoga and threads the core beliefs of pilates, resistance training and yoga together - all to funky music!",Yoga,2009-03-09 23:43:33,2009-03-09 23:43:33
6,Gentle Yoga,"A slower paced, less rigorous, softer class for all ages.",Yoga,2009-03-09 23:43:52,2009-03-09 23:43:52
7,Iyengar Yoga,"Based on the teachings of living Yoga master BKS Iyengar, focusing on strength, flexibility & alignment.\r\n\r\n",Flexibility & Strength,2009-03-09 23:44:20,2009-03-11 08:33:55
8,Vinyasa Yoga,"Flowing sequences of poses, emphasizes breath awareness.",Yoga,2009-03-09 23:44:43,2009-03-09 23:44:43
9,Aerobics & Abs,"a high intensity cardio class, incorporating light weights in the 2nd half of class for upper body toning, followed by abs and butt.",Cardio & Dance,2009-03-09 23:45:20,2009-03-09 23:45:20
10,AM Body Sculpt,Wake your body up with Cait’s morning sculpt.,Cardio & Dance,2009-03-09 23:45:43,2009-03-09 23:45:43
11,AM Exercise,"Energetic cardio workout combined with strength training. \r\nGreat for all ages, especially 50 +.",Cardio & Dance,2009-03-09 23:46:11,2009-03-09 23:46:11
12,Awesome Abs and Butt Blast,"Half hour of abs, half hour of butt - simple! ",Cardio & Dance,2009-03-09 23:46:38,2009-03-09 23:46:38
13,Ballet,A basics level class. No experience necessary. Ballet shoes or socks.,Cardio & Dance,2009-03-09 23:47:08,2009-03-09 23:47:08
14,Ballet Body,This fusion of ballet barre moves & pilates helps develop long lean muscles of a dancer through proper alignment. Socks or ballet shoes.,Cardio & Dance,2009-03-09 23:47:33,2009-03-09 23:47:33
15,Boot Camp,Build strength & endurance through the movements of your body in this circuit training class for a great cardio workout.,Cardio & Dance,2009-03-09 23:47:53,2009-03-09 23:47:53
16,Cardio Sculpt,Sculpt your body while you burn w/aerobic dancey moves!,Cardio & Dance,2009-03-09 23:48:17,2009-03-09 23:48:17
17,Cardio Tramps,"45 min. of a very aerobic workout on mini trampoline. \r\nThe Crossover-Yogasculpt/Pilates - Combines all 3 disciplines into 1 class.",Cardio & Dance,2009-03-09 23:48:40,2009-03-09 23:48:54
18,Fun & Fitness,"An aerobic workout free of jarring movements.\r\n\r\nImprove	balance, stamina & strengthen your muscles, bones, & heart. \r\n\r\nDesigned for ages 50 +, or anyone just getting back to fitness.",Cardio & Dance,2009-03-09 23:49:35,2009-03-09 23:49:35
19,F.U.S.E,"Total body conditioning class with intervals of cardio, drawing from dance, martial arts & yoga, as well as traditional weight training. ",Cardio & Dance,2009-03-09 23:50:03,2009-03-09 23:50:03
